Group Number,Name,CV,Lower Bound,Upper Bound
1,Baleen whales,0.01,0,1000
2,Toothed whales,0.01,0,1000
3,Seals,0.01,0,1000
4,Seabirds,0.01,0,1000
5,Juvenile sharks,0.01,0,1000
6,Spurdog,0.01,0,1000
7,Large piscivorous sharks,0.01,0,1000
8,Small sharks,0.01,0,1000
9,Juvenile rays,0.01,0,1000
10,Starry ray + others,0.01,0,1000
11,Thornback & Spotted ray,0.01,0,1000
12,Skate + cuckoo ray,0.01,0,1000
13,"Juvenile Cod(0-2, 0-40cm)",0.01,0,1000
14,Cod (adult),0.01,0,1000
15,"Juvenile Whiting (0-1, 0-20cm)",0.01,0,1000
16,Whiting (adult),0.01,0,1000
17,"Juvenile Haddock (0-1, 0-20cm)",0.01,0,1000
18,Haddock (adult),0.01,0,1000
19,"Juvenile Saithe (0-3, 0-40cm)",0.01,0,1000
20,Saithe (adult),0.01,0,1000
21,Hake,0.01,0,1000
22,Blue whiting,0.01,0,1000
23,Norway pout,0.01,0,1000
24,Other gadoids (large),0.01,0,1000
25,Other gadoids (small),0.01,0,1000
26,Monkfish,0.01,0,1000
27,Gurnards,0.01,0,1000
28,"Herring (juvenile 0, 1)",0.01,0,1000
29,Herring (adult),0.01,0,1000
30,Sprat,0.01,0,1000
31,Mackerel,0.01,0,1000
32,Horse mackerel,0.01,0,1000
33,Sandeels,0.01,0,1000
34,Plaice,0.01,0,1000
35,Dab,0.01,0,1000
36,Long-rough dab,0.01,0,1000
37,Flounder,0.01,0,1000
38,Sole,0.01,0,1000
39,Lemon sole,0.01,0,1000
40,Witch,0.01,0,1000
41,Turbot and brill,0.01,0,1000
42,Megrim,0.01,0,1000
43,Halibut,0.01,0,1000
44,Dragonets,0.01,0,1000
45,Catfish (Wolf-fish),0.01,0,1000
46,Large demersal fish,0.01,0,1000
47,Small demersal fish,0.01,0,1000
48,Miscellaneous filterfeeding pelagic fish,0.01,0,1000
49,Squid & cuttlefish,0.01,0,1000
50,Fish larvae,0.01,0,1000
51,Carnivorous zooplankton,0.01,0,1000
52,Herbivorous & Omnivorous zooplankton (copepods),0.01,0,1000
53,Gelatinous zooplankton,0.01,0,1000
54,Large crabs,0.01,0,1000
55,Nephrops,0.01,0,1000
56,Epifaunal macrobenthos (mobile grazers),0.01,0,1000
57,Infaunal macrobenthos,0.01,0,1000
58,Shrimp,0.01,0,1000
59,Small mobile epifauna (swarming crustaceans),0.01,0,1000
60,Small infauna (polychaetes),0.01,0,1000
61,Sessile epifauna,0.01,0,1000
62,Meiofauna,0.01,0,1000
63,"Benthic microflora (incl. Bacteria, protozoa))",0.01,0,1000
64,"Planktonic microflora (incl. Bacteria, protozoa)",0.01,0,1000
65,Phytoplankton,0.01,0,1000
