Predator,Prey,PredIndex,PreyIndex,Interacts,Mean
"Baleen whales",Imports, 1,0,0,0
"Baleen whales","Baleen whales",1,1,0,0
"Baleen whales","Toothed whales",1,2,0,0
"Baleen whales","Seals",1,3,0,0
"Baleen whales","Seabirds",1,4,0,0
"Baleen whales","Juvenile sharks",1,5,0,0
"Baleen whales","Spurdog",1,6,0,0
"Baleen whales","Large piscivorous sharks",1,7,0,0
"Baleen whales","Small sharks",1,8,0,0
"Baleen whales","Juvenile rays",1,9,0,0
"Baleen whales","Starry ray + others",1,10,0,0
"Baleen whales","Thornback & Spotted ray",1,11,0,0
"Baleen whales","Skate + cuckoo ray",1,12,0,0
"Baleen whales","Juvenile Cod(0-2, 0-40cm)",1,13,0,0
"Baleen whales","Cod (adult)",1,14,0,0
"Baleen whales","Juvenile Whiting (0-1, 0-20cm)",1,15,1,0.002055382
"Baleen whales","Whiting (adult)",1,16,0,0
"Baleen whales","Juvenile Haddock (0-1, 0-20cm)",1,17,0,0
"Baleen whales","Haddock (adult)",1,18,0,0
"Baleen whales","Juvenile Saithe (0-3, 0-40cm)",1,19,0,0
"Baleen whales","Saithe (adult)",1,20,0,0
"Baleen whales","Hake",1,21,0,0
"Baleen whales","Blue whiting",1,22,0,0
"Baleen whales","Norway pout",1,23,1,0.005370846
"Baleen whales","Other gadoids (large)",1,24,0,0
"Baleen whales","Other gadoids (small)",1,25,0,0
"Baleen whales","Monkfish",1,26,0,0
"Baleen whales","Gurnards",1,27,0,0
"Baleen whales","Herring (juvenile 0, 1)",1,28,1,0.0009295695
"Baleen whales","Herring (adult)",1,29,0,0
"Baleen whales","Sprat",1,30,1,0.01043184
"Baleen whales","Mackerel",1,31,1,0.09688181
"Baleen whales","Horse mackerel",1,32,0,0
"Baleen whales","Sandeels",1,33,1,0.6762102
"Baleen whales","Plaice",1,34,0,0
"Baleen whales","Dab",1,35,0,0
"Baleen whales","Long-rough dab",1,36,0,0
"Baleen whales","Flounder",1,37,0,0
"Baleen whales","Sole",1,38,0,0
"Baleen whales","Lemon sole",1,39,0,0
"Baleen whales","Witch",1,40,0,0
"Baleen whales","Turbot and brill",1,41,0,0
"Baleen whales","Megrim",1,42,0,0
"Baleen whales","Halibut",1,43,0,0
"Baleen whales","Dragonets",1,44,0,0
"Baleen whales","Catfish (Wolf-fish)",1,45,0,0
"Baleen whales","Large demersal fish",1,46,0,0
"Baleen whales","Small demersal fish",1,47,0,0
"Baleen whales","Miscellaneous filterfeeding pelagic fish",1,48,1,0.02602795
"Baleen whales","Squid & cuttlefish",1,49,1,0.02602795
"Baleen whales","Fish larvae",1,50,0,0
"Baleen whales","Carnivorous zooplankton",1,51,1,0.0520559
"Baleen whales","Herbivorous & Omnivorous zooplankton (copepods)",1,52,0,0
"Baleen whales","Gelatinous zooplankton",1,53,1,0.1040085
"Baleen whales","Large crabs",1,54,0,0
"Baleen whales","Nephrops",1,55,0,0
"Baleen whales","Epifaunal macrobenthos (mobile grazers)",1,56,0,0
"Baleen whales","Infaunal macrobenthos",1,57,0,0
"Baleen whales","Shrimp",1,58,0,0
"Baleen whales","Small mobile epifauna (swarming crustaceans)",1,59,0,0
"Baleen whales","Small infauna (polychaetes)",1,60,0,0
"Baleen whales","Sessile epifauna",1,61,0,0
"Baleen whales","Meiofauna",1,62,0,0
"Baleen whales","Benthic microflora (incl. Bacteria, protozoa))",1,63,0,0
