PredatorIndexNumber,PredatorIndexName,Multiplier
1,Baleen whales,10000
2,Toothed whales,10000
3,Seals,10000
4,Seabirds,10000
5,Juvenile sharks,10000
6,Spurdog,10000
7,Large piscivorous sharks,10000
8,Small sharks,10000
9,Juvenile rays,10000
10,Starry ray + others,10000
11,Thornback & Spotted ray,10000
12,Skate + cuckoo ray,10000
13,"Juvenile Cod(0-2, 0-40cm)",10000
14,Cod (adult),10000
15,"Juvenile Whiting (0-1, 0-20cm)",10000
16,Whiting (adult),10000
17,"Juvenile Haddock (0-1, 0-20cm)",10000
18,Haddock (adult),10000
19,"Juvenile Saithe (0-3, 0-40cm)",10000
20,Saithe (adult),10000
21,Hake,10000
22,Blue whiting,10000
23,Norway pout,10000
24,Other gadoids (large),10000
25,Other gadoids (small),10000
26,Monkfish,10000
27,Gurnards,10000
28,"Herring (juvenile 0, 1)",10000
29,Herring (adult),10000
30,Sprat,10000
31,Mackerel,10000
32,Horse mackerel,10000
33,Sandeels,10000
34,Plaice,10000
35,Dab,10000
36,Long-rough dab,10000
37,Flounder,10000
38,Sole,10000
39,Lemon sole,10000
40,Witch,10000
41,Turbot and brill,10000
42,Megrim,10000
43,Halibut,10000
44,Dragonets,10000
45,Catfish (Wolf-fish),10000
46,Large demersal fish,10000
47,Small demersal fish,10000
48,Miscellaneous filterfeeding pelagic fish,10000
49,Squid & cuttlefish,10000
50,Fish larvae,10000
51,Carnivorous zooplankton,10000
52,Herbivorous & Omnivorous zooplankton (copepods),10000
53,Gelatinous zooplankton,10000
54,Large crabs,10000
55,Nephrops,10000
56,Epifaunal macrobenthos (mobile grazers),10000
57,Infaunal macrobenthos,10000
58,Shrimp,10000
59,Small mobile epifauna (swarming crustaceans),10000
60,Small infauna (polychaetes),10000
61,Sessile epifauna,10000
62,Meiofauna,10000
63,"Benthic microflora (incl. Bacteria, protozoa))",10000
64,"Planktonic microflora (incl. Bacteria, protozoa)",10000
