GroupName,GroupNumber,DistributionType,Lower,Upper,Mid
Baleen whales,1,1,0,2,-9999
Toothed whales,2,1,0,2,-9999
Seals,3,1,0,2,-9999
Seabirds,4,1,0,2,-9999
Juvenile sharks,5,1,0,2,-9999
Spurdog,6,1,0,2,-9999
Large piscivorous sharks,7,1,0,2,-9999
Small sharks,8,1,0,2,-9999
Juvenile rays,9,1,0,2,-9999
Starry ray + others,10,1,0,2,-9999
Thornback & Spotted ray,11,1,0,2,-9999
Skate + cuckoo ray,12,1,0,2,-9999
"Juvenile Cod(0-2, 0-40cm)",13,1,0,2,-9999
Cod (adult),14,1,0,2,-9999
"Juvenile Whiting (0-1, 0-20cm)",15,1,0,2,-9999
Whiting (adult),16,1,0,2,-9999
"Juvenile Haddock (0-1, 0-20cm)",17,1,0,2,-9999
Haddock (adult),18,1,0,2,-9999
"Juvenile Saithe (0-3, 0-40cm)",19,1,0,2,-9999
Saithe (adult),20,1,0,2,-9999
Hake,21,1,0,2,-9999
Blue whiting,22,1,0,2,-9999
Norway pout,23,1,0,2,-9999
Other gadoids (large),24,1,0,2,-9999
Other gadoids (small),25,1,0,2,-9999
Monkfish,26,1,0,2,-9999
Gurnards,27,1,0,2,-9999
"Herring (juvenile 0, 1)",28,1,0,2,-9999
Herring (adult),29,1,0,2,-9999
Sprat,30,1,0,2,-9999
Mackerel,31,1,0,2,-9999
Horse mackerel,32,1,0,2,-9999
Sandeels,33,1,0,2,-9999
Plaice,34,1,0,2,-9999
Dab,35,1,0,2,-9999
Long-rough dab,36,1,0,2,-9999
Flounder,37,1,0,2,-9999
Sole,38,1,0,2,-9999
Lemon sole,39,1,0,2,-9999
Witch,40,1,0,2,-9999
Turbot and brill,41,1,0,2,-9999
Megrim,42,1,0,2,-9999
Halibut,43,1,0,2,-9999
Dragonets,44,1,0,2,-9999
Catfish (Wolf-fish),45,1,0,2,-9999
Large demersal fish,46,1,0,2,-9999
Small demersal fish,47,1,0,2,-9999
Miscellaneous filterfeeding pelagic fish,48,1,0,2,-9999
Squid & cuttlefish,49,1,0,2,-9999
Fish larvae,50,1,0,2,-9999
Carnivorous zooplankton,51,1,0,2,-9999
Herbivorous & Omnivorous zooplankton (copepods),52,1,0,2,-9999
Gelatinous zooplankton,53,1,0,2,-9999
Large crabs,54,1,0,2,-9999
Nephrops,55,1,0,2,-9999
Epifaunal macrobenthos (mobile grazers),56,1,0,2,-9999
Infaunal macrobenthos,57,1,0,2,-9999
Shrimp,58,1,0,2,-9999
Small mobile epifauna (swarming crustaceans),59,1,0,2,-9999
Small infauna (polychaetes),60,1,0,2,-9999
Sessile epifauna,61,1,0,2,-9999
Meiofauna,62,1,0,2,-9999
"Benthic microflora (incl. Bacteria, protozoa))",63,1,0,2,-9999
"Planktonic microflora (incl. Bacteria, protozoa)",64,1,0,2,-9999
