"taxonID","scientificNameID","scientificName","kingdom","phylum","class","order","family","genus","taxonRank","FAO_Code"
"urn:lsid:marinespecies.org:taxname:100801","urn:lsid:marinespecies.org:taxname:100801","Actinia cari","Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Species","KJC"
"urn:lsid:marinespecies.org:taxname:100803","urn:lsid:marinespecies.org:taxname:100803","Actinia equina","Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Species","KQN"
"urn:lsid:marinespecies.org:taxname:100817","urn:lsid:marinespecies.org:taxname:100817","Bolocera tuediae","Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Bolocera","Species","DTI"
"urn:lsid:marinespecies.org:taxname:100822","urn:lsid:marinespecies.org:taxname:100822","Condylactis aurantiaca","Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Condylactis","Species","KYU"
"urn:lsid:marinespecies.org:taxname:100834","urn:lsid:marinespecies.org:taxname:100834","Urticina felina","Animalia","Cnidaria","Hexacorallia","Actiniaria","Tealidae","Urticina","Species","KDP"
"urn:lsid:marinespecies.org:taxname:100854","urn:lsid:marinespecies.org:taxname:100854","Stomphia coccinea","Animalia","Cnidaria","Hexacorallia","Actiniaria","Actinostolidae","Stomphia","Species","KEO"
"urn:lsid:marinespecies.org:taxname:100930","urn:lsid:marinespecies.org:taxname:100930","Actinauge richardi","Animalia","Cnidaria","Hexacorallia","Actiniaria","Hormathiidae","Actinauge","Species","KKL"
"urn:lsid:marinespecies.org:taxname:100946","urn:lsid:marinespecies.org:taxname:100946","Calliactis parasitica","Animalia","Cnidaria","Hexacorallia","Actiniaria","Hormathiidae","Calliactis","Species","KKK"
"urn:lsid:marinespecies.org:taxname:100951","urn:lsid:marinespecies.org:taxname:100951","Hormathia digitata","Animalia","Cnidaria","Hexacorallia","Actiniaria","Hormathiidae","Hormathia","Species","KBO"
"urn:lsid:marinespecies.org:taxname:101037","urn:lsid:marinespecies.org:taxname:101037","Epizoanthus papillosus","Animalia","Cnidaria","Hexacorallia","Zoantharia","Epizoanthidae","Epizoanthus","Species","UGB"
"urn:lsid:marinespecies.org:taxname:101160","urn:lsid:marinespecies.org:taxname:101160","Priapulus caudatus","Animalia","Priapulida","","Priapulomorpha","Priapulidae","Priapulus","Species","ZVA"
"urn:lsid:marinespecies.org:taxname:101170","urn:lsid:marinespecies.org:taxname:101170","Myxine glutinosa","Animalia","Chordata","Myxini","Myxiniformes","Myxinidae","Myxine","Species","MYG"
"urn:lsid:marinespecies.org:taxname:101172","urn:lsid:marinespecies.org:taxname:101172","Lampetra fluviatilis","Animalia","Chordata","Petromyzonti","Petromyzontiformes","Petromyzontidae","Lampetra","Species","LAR"
"urn:lsid:marinespecies.org:taxname:101173","urn:lsid:marinespecies.org:taxname:101173","Lethenteron camtschaticum","Animalia","Chordata","Petromyzonti","Petromyzontiformes","Petromyzontidae","Lethenteron","Species","LSZ"
"urn:lsid:marinespecies.org:taxname:101174","urn:lsid:marinespecies.org:taxname:101174","Petromyzon marinus","Animalia","Chordata","Petromyzonti","Petromyzontiformes","Petromyzontidae","Petromyzon","Species","LAU"
"urn:lsid:marinespecies.org:taxname:102048","urn:lsid:marinespecies.org:taxname:102048","Microdeutopus gryllotalpa","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Microdeutopus","Species","GZK"
"urn:lsid:marinespecies.org:taxname:102101","urn:lsid:marinespecies.org:taxname:102101","Corophium volutator","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Corophium","Species","JEZ"
"urn:lsid:marinespecies.org:taxname:102166","urn:lsid:marinespecies.org:taxname:102166","Apherusa glacialis","Animalia","Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Apherusa","Species","IVK"
"urn:lsid:marinespecies.org:taxname:102200","urn:lsid:marinespecies.org:taxname:102200","Eusirus holmii","Animalia","Arthropoda","Malacostraca","Amphipoda","Eusiridae","Eusirus","Species","IVI"
"urn:lsid:marinespecies.org:taxname:102281","urn:lsid:marinespecies.org:taxname:102281","Gammarus locusta","Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","Gammarus","Species","IWJ"
"urn:lsid:marinespecies.org:taxname:102293","urn:lsid:marinespecies.org:taxname:102293","Gammarus setosus","Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","Gammarus","Species","WSE"
"urn:lsid:marinespecies.org:taxname:102297","urn:lsid:marinespecies.org:taxname:102297","Gammarus wilkitzkii","Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","Gammarus","Species","WKT"
"urn:lsid:marinespecies.org:taxname:102440","urn:lsid:marinespecies.org:taxname:102440","Parajassa pelagica","Animalia","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Parajassa","Species","JGP"
"urn:lsid:marinespecies.org:taxname:102563","urn:lsid:marinespecies.org:taxname:102563","Eurythenes gryllus","Animalia","Arthropoda","Malacostraca","Amphipoda","Eurytheneidae","Eurythenes","Species","EQZ"
"urn:lsid:marinespecies.org:taxname:102644","urn:lsid:marinespecies.org:taxname:102644","Onisimus glacialis","Animalia","Arthropoda","Malacostraca","Amphipoda","Uristidae","Onisimus","Species","IWH"
"urn:lsid:marinespecies.org:taxname:102646","urn:lsid:marinespecies.org:taxname:102646","Onisimus litoralis","Animalia","Arthropoda","Malacostraca","Amphipoda","Uristidae","Onisimus","Species","QLT"
"urn:lsid:marinespecies.org:taxname:103251","urn:lsid:marinespecies.org:taxname:103251","Hyperia galba","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyperiidae","Hyperia","Species","IXV"
"urn:lsid:marinespecies.org:taxname:103309","urn:lsid:marinespecies.org:taxname:103309","Antipathes dichotoma","Animalia","Cnidaria","Hexacorallia","Antipatharia","Antipathidae","Antipathes","Species","ADQ"
"urn:lsid:marinespecies.org:taxname:103312","urn:lsid:marinespecies.org:taxname:103312","Antipathes furcata","Animalia","Cnidaria","Hexacorallia","Antipatharia","Antipathidae","Antipathes","Species","NFW"
"urn:lsid:marinespecies.org:taxname:103407","urn:lsid:marinespecies.org:taxname:103407","Oikopleura (Vexillaria) dioica","Animalia","Chordata","Appendicularia","Copelata","Oikopleuridae","Oikopleura","Species","QHM"
"urn:lsid:marinespecies.org:taxname:103408","urn:lsid:marinespecies.org:taxname:103408","Oikopleura (Coecaria) fusiformis","Animalia","Chordata","Appendicularia","Copelata","Oikopleuridae","Oikopleura","Species","QHF"
"urn:lsid:marinespecies.org:taxname:103413","urn:lsid:marinespecies.org:taxname:103413","Oikopleura (Vexillaria) labradoriensis","Animalia","Chordata","Appendicularia","Copelata","Oikopleuridae","Oikopleura","Species","QHH"
"urn:lsid:marinespecies.org:taxname:103414","urn:lsid:marinespecies.org:taxname:103414","Oikopleura (Coecaria) longicauda","Animalia","Chordata","Appendicularia","Copelata","Oikopleuridae","Oikopleura","Species","QHN"
"urn:lsid:marinespecies.org:taxname:103415","urn:lsid:marinespecies.org:taxname:103415","Oikopleura (Vexillaria) parva","Animalia","Chordata","Appendicularia","Copelata","Oikopleuridae","Oikopleura","Species","QHJ"
"urn:lsid:marinespecies.org:taxname:103417","urn:lsid:marinespecies.org:taxname:103417","Oikopleura (Vexillaria) vanhoeffeni","Animalia","Chordata","Appendicularia","Copelata","Oikopleuridae","Oikopleura","Species","QHQ"
"urn:lsid:marinespecies.org:taxname:103418","urn:lsid:marinespecies.org:taxname:103418","Oikopleura (Vexillaria) villafrancae","Animalia","Chordata","Appendicularia","Copelata","Oikopleuridae","Oikopleura","Species","QHK"
"urn:lsid:marinespecies.org:taxname:103552","urn:lsid:marinespecies.org:taxname:103552","Clavelina lepadiformis","Animalia","Chordata","Ascidiacea","Aplousobranchia","Clavelinidae","Clavelina","Species","BVW"
"urn:lsid:marinespecies.org:taxname:103674","urn:lsid:marinespecies.org:taxname:103674","Polyclinum aurantium","Animalia","Chordata","Ascidiacea","Aplousobranchia","Polyclinidae","Polyclinum","Species","AZY"
"urn:lsid:marinespecies.org:taxname:103710","urn:lsid:marinespecies.org:taxname:103710","Ascidia mentula","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidia","Species","AZW"
"urn:lsid:marinespecies.org:taxname:103717","urn:lsid:marinespecies.org:taxname:103717","Ascidia virginea","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidia","Species","DTQ"
"urn:lsid:marinespecies.org:taxname:103718","urn:lsid:marinespecies.org:taxname:103718","Ascidiella aspersa","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidiella","Species","DUV"
"urn:lsid:marinespecies.org:taxname:103719","urn:lsid:marinespecies.org:taxname:103719","Ascidiella scabra","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidiella","Species","DUQ"
"urn:lsid:marinespecies.org:taxname:103728","urn:lsid:marinespecies.org:taxname:103728","Ciona edwardsi","Animalia","Chordata","Ascidiacea","Phlebobranchia","Cionidae","Ciona","Species","KOH"
"urn:lsid:marinespecies.org:taxname:103729","urn:lsid:marinespecies.org:taxname:103729","Ciona fascicularis","Animalia","Chordata","Ascidiacea","Phlebobranchia","Cionidae","Ciona","Species","KJO"
"urn:lsid:marinespecies.org:taxname:103730","urn:lsid:marinespecies.org:taxname:103730","Ciona gelatinosa","Animalia","Chordata","Ascidiacea","Phlebobranchia","Cionidae","Ciona","Species","KJP"
"urn:lsid:marinespecies.org:taxname:103731","urn:lsid:marinespecies.org:taxname:103731","Ciona imperfecta","Animalia","Chordata","Ascidiacea","Phlebobranchia","Cionidae","Ciona","Species","KJQ"
"urn:lsid:marinespecies.org:taxname:103732","urn:lsid:marinespecies.org:taxname:103732","Ciona intestinalis","Animalia","Chordata","Ascidiacea","Phlebobranchia","Cionidae","Ciona","Species","KOJ"
"urn:lsid:marinespecies.org:taxname:103815","urn:lsid:marinespecies.org:taxname:103815","Boltenia ovifera","Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Boltenia","Species","WBO"
"urn:lsid:marinespecies.org:taxname:103842","urn:lsid:marinespecies.org:taxname:103842","Microcosmus polymorphus","Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Microcosmus","Species","MVL"
"urn:lsid:marinespecies.org:taxname:103844","urn:lsid:marinespecies.org:taxname:103844","Microcosmus sabatieri","Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Microcosmus","Species","MWV"
"urn:lsid:marinespecies.org:taxname:103846","urn:lsid:marinespecies.org:taxname:103846","Microcosmus vulgaris","Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Microcosmus","Species","SSG"
"urn:lsid:marinespecies.org:taxname:103862","urn:lsid:marinespecies.org:taxname:103862","Botryllus schlosseri","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Botryllus","Species","ZDC"
"urn:lsid:marinespecies.org:taxname:103929","urn:lsid:marinespecies.org:taxname:103929","Styela clava","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Styela","Species","YEK"
"urn:lsid:marinespecies.org:taxname:103936","urn:lsid:marinespecies.org:taxname:103936","Styela plicata","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Styela","Species","YEQ"
"urn:lsid:marinespecies.org:taxname:104262","urn:lsid:marinespecies.org:taxname:104262","Acartia tonsa","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia","Species","JCA"
"urn:lsid:marinespecies.org:taxname:104464","urn:lsid:marinespecies.org:taxname:104464","Calanus finmarchicus","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Species","JCM"
"urn:lsid:marinespecies.org:taxname:104465","urn:lsid:marinespecies.org:taxname:104465","Calanus glacialis","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Species","JGS"
"urn:lsid:marinespecies.org:taxname:104466","urn:lsid:marinespecies.org:taxname:104466","Calanus helgolandicus","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Species","JGC"
"urn:lsid:marinespecies.org:taxname:104467","urn:lsid:marinespecies.org:taxname:104467","Calanus hyperboreus","Animalia","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Species","JGT"
"urn:lsid:marinespecies.org:taxname:104496","urn:lsid:marinespecies.org:taxname:104496","Centropages hamatus","Animalia","Arthropoda","Copepoda","Calanoida","Centropagidae","Centropages","Species","DZJ"
"urn:lsid:marinespecies.org:taxname:104514","urn:lsid:marinespecies.org:taxname:104514","Pseudocalanus acuspes","Animalia","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Pseudocalanus","Species","JHL"
"urn:lsid:marinespecies.org:taxname:104515","urn:lsid:marinespecies.org:taxname:104515","Pseudocalanus elongatus","Animalia","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Pseudocalanus","Species","JKP"
"urn:lsid:marinespecies.org:taxname:104517","urn:lsid:marinespecies.org:taxname:104517","Pseudocalanus minutus","Animalia","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Pseudocalanus","Species","JHR"
"urn:lsid:marinespecies.org:taxname:104557","urn:lsid:marinespecies.org:taxname:104557","Paraeuchaeta barbata","Animalia","Arthropoda","Copepoda","Calanoida","Euchaetidae","Paraeuchaeta","Species","JHQ"
"urn:lsid:marinespecies.org:taxname:104632","urn:lsid:marinespecies.org:taxname:104632","Metridia longa","Animalia","Arthropoda","Copepoda","Calanoida","Metridinidae","Metridia","Species","JHJ"
"urn:lsid:marinespecies.org:taxname:104878","urn:lsid:marinespecies.org:taxname:104878","Temora longicornis","Animalia","Arthropoda","Copepoda","Calanoida","Temoridae","Temora","Species","IVJ"
"urn:lsid:marinespecies.org:taxname:105787","urn:lsid:marinespecies.org:taxname:105787","Carcharhinus altimus","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Species","CCA"
"urn:lsid:marinespecies.org:taxname:105788","urn:lsid:marinespecies.org:taxname:105788","Carcharhinus brevipinna","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Species","CCB"
"urn:lsid:marinespecies.org:taxname:105789","urn:lsid:marinespecies.org:taxname:105789","Carcharhinus falciformis","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Species","FAL"
"urn:lsid:marinespecies.org:taxname:105790","urn:lsid:marinespecies.org:taxname:105790","Carcharhinus galapagensis","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","Species","CCG"
