LME_EcoOcean,Fleet Number,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,1,0.912637388,0.815325987,0.816835917,0.889370428,0.909766842,0.861810674,1.001564946,0.89276385,0.934092329,0.842038595,1.929725004,2.216613298,1.850607984,0.958953287,1.153977262,2.546111857,2.42026385,1.850538313,2.179441734,1.587267432,2.253993543,2.130229004,3.268118255,3.180476948,3.240339612,3.498154711,4.578119072,4.627573423,4.261991424,2.126928013,3.518345598,3.730836271,3.388135728,3.197438698,3.683359188,5.267766074,6.314958553,5.311299439,6.766911755,6.241959992,8.013894298,6.446932811,8.25292011,7.73476346,6.230348162,6.412609297,7.995050082,6.456116237,6.280287843,5.665208519,5.503061437,5.496395501,4.764366726,5.525131306,5.47756382,4.47838805,4.439297842,4.264314263,4.580091711,3.136677351,3.874947445
1,2,,,,,,,,,,,,,,,,,,,,,,,7.43E-06,,6.21E-05,,,,,,8.21E-06,,0.026013062,,4.79E-06,3.54E-06,1.87E-05,8.26E-08,4.79E-07,,1.34E-06,3.92E-06,4.13E-06,3.58E-06,1.66E-07,7.37E-10,,1.25E-07,,,,0.000191631,,,6.70E-07,,,,,0.00010256,0.005143526
1,3,1.100097446,1.508136174,1.259003312,1.405668933,1.247255597,1.463751305,1.299137195,1.183578002,1.345685333,1.408033292,1.380447485,1.498321724,1.431106023,1.343580004,1.607455723,1.547861139,1.675647429,1.185926179,1.69658196,1.446084191,1.767997943,1.860000673,0.611490598,0.61285265,0.666088107,0.659262854,0.865619063,0.88313343,0.852727097,0.986169043,1.070688214,1.159946003,1.194361789,1.355685114,1.696052931,2.032879733,2.559468107,2.309305084,2.459854891,2.485163852,2.700893826,2.35300908,2.607891715,2.672608566,2.222091678,2.244258687,2.062976919,1.836624147,1.809405537,1.555737476,1.493172114,1.48543925,1.330117349,1.388066501,1.391288115,1.563525938,1.354519605,1.387962129,1.387968682,1.293461448,1.38426551
1,4,0.000711974,0.000638669,0.001297585,0.000822485,0.002059715,0.001986707,0.00130671,0.001475951,0.00062068,0.000271412,0.000210026,0.000414685,0.000358213,5.11E-05,0.000296427,0.000802493,0.000261259,0.000880734,0.000931903,0.000393225,0.000609128,0.00170564,0.001751868,0.000829798,0.000691883,0.001179142,0.001032067,0.000492814,0.001782624,0.002230211,0.000303904,0.001416406,0.00030363,0.000456774,0.000185523,0.000147312,0.000331545,0.000198514,0.00019285,0.000211034,0.000194339,0.00037081,0.000307123,0.000418981,0.000170463,0.000112343,0.000436217,0.000157971,0.003167532,5.65E-05,0.000139121,0.00083041,0.000187939,8.45E-05,7.96E-05,6.68E-05,6.70E-05,0.000229228,0.000130418,8.81E-05,9.25E-05
1,5,0.382738956,0.448313183,0.434313412,0.567611337,0.56244321,0.456368155,0.482242106,0.423577715,0.456680662,0.478818409,0.634997832,0.504853535,0.467365542,0.339888608,0.371803629,0.613755686,0.63269246,0.565168982,0.499640118,0.500522614,0.867193484,0.846008467,1.209154715,1.208960779,1.196934165,1.147365445,1.505813192,1.555249792,1.499402586,1.378376671,1.30917748,1.124254467,1.077383055,1.292680512,1.656715943,2.134290472,2.58809923,2.489022251,2.491352954,2.275003945,2.373154492,1.820162074,2.342267246,2.459102709,2.067554991,1.946979718,1.939868906,1.803469283,1.830628042,1.620870987,1.649627061,1.593539459,1.551961128,1.582491685,1.484781082,1.882284009,1.541527962,1.447690852,1.428765354,1.347904739,1.387316411
1,6,1.485337557,1.707713149,1.722152826,1.648974034,1.756107603,1.672828172,1.69508711,1.623477859,1.389602982,1.692691867,2.088222627,1.82210105,1.771227248,1.405294077,1.499632823,1.675154237,1.739903766,1.683861229,1.424706337,1.536476856,2.484476456,2.471350113,1.671116275,1.62085572,1.615117026,1.725108347,2.23852224,2.266386092,1.997883982,2.015106056,2.127620569,2.050207664,2.086942644,2.319792246,2.729869859,3.325258598,4.006323927,3.561730931,3.770994027,3.741316764,4.190752804,3.356561516,3.957861993,4.144122403,3.31753508,3.365893803,3.063038694,2.873754105,2.883312349,2.669594014,2.491067002,2.496605783,2.421830338,2.495306028,2.328423554,3.183573762,2.375711846,2.252298211,2.850511454,2.867999861,2.255404269
1,7,0.021576173,0.034535333,0.012994422,0.037065224,0.031523728,0.002028179,0.001801895,0.002564415,0.001504441,0.001987377,0.017536671,0.023853709,0.031132545,0.02405488,0.025364216,0.039671632,0.201800945,0.05926745,0.057357046,0.056449596,0.13517098,0.209335533,0.138006494,0.184003905,0.236299376,0.248346989,0.791109299,0.897117792,0.074248665,0.090056946,0.240450243,0.266561766,0.907999139,1.121185236,1.220929365,1.181763547,1.31043101,1.176728116,0.985652271,0.074382094,0.028082561,0.021017188,0.052887778,0.094359221,0.04221031,0.027185843,0.026767967,0.032031144,0.054435238,0.11790574,0.032833621,0.033113004,0.132627506,0.016582703,0.014663849,0.039281338,0.020603703,0.034302532,0.026162653,0.028670389,0.020606635
1,8,,0.000208199,1.25E-05,0.000232193,5.36E-05,,0.000102265,8.05E-05,4.67E-05,0.000877756,3.54E-06,1.08E-06,6.96E-07,1.96E-07,1.79E-07,0.000981825,0.210505854,0.003471963,0.004131822,0.003491225,0.025284427,0.136201971,0.042005522,0.04584685,0.080308773,0.051409278,0.071568092,0.068821524,0.043051544,0.048677548,0.073188058,0.026510271,0.0262915,0.037059447,0.027911799,0.042090195,0.029324327,0.067097097,0.085542648,0.141628946,0.045193968,0.022878289,0.022048154,0.16236399,0.023794549,0.021797037,0.018579691,0.04109428,0.060545327,0.317344684,0.039845125,0.031232813,0.076146986,0.017118313,0.026431057,0.082770102,0.04034431,0.058712219,0.028416003,0.023558662,0.012167091
1,9,0.987787936,0.771991629,0.750522734,0.639599157,0.614890579,0.482487156,0.492655545,0.522944126,0.625327601,0.660276749,0.708590861,0.708934087,0.717911939,0.618925589,0.601585212,0.633754541,0.534658692,0.676943384,0.630522215,0.603814476,0.196916073,0.196855235,0.982088672,1.027790273,1.061347267,1.016860531,1.376026109,1.460320057,1.305715013,1.338917385,1.444845296,1.605147325,1.614114819,1.890167485,2.321955808,2.709139819,3.426828543,3.040492539,3.191892596,3.379602555,3.672780529,3.251226162,3.771036107,3.690291169,3.154581023,3.279004833,3.102634871,2.712596352,2.70137202,2.337352647,2.257034271,1.980590771,1.896483008,1.917819612,1.782445001,1.821752464,1.574057528,1.367536558,1.334141915,1.290164694,1.444525779
1,10,0.644631609,0.767245242,0.850266283,0.851619031,0.789464433,0.961533675,0.815890305,0.897262326,0.151662403,0.509373977,0.531650043,0.851801727,0.859324881,0.919664007,1.068299422,2.702123083,2.498129804,2.057318976,2.011598786,1.483703329,2.020274876,1.951381375,0.27047451,0.262508328,0.244087195,2.065216568,2.595730569,2.570799606,2.254804005,0.124091284,0.130797469,0.838033615,1.045599163,0.980175257,0.90441215,0.90561106,0.747409217,0.652184136,0.110130735,0.062815277,0.026832727,0.011435328,0.013634099,0.044538989,0.013398785,0.006681048,0.004226549,0.005422294,0.013031934,0.020434082,0.006041265,0.006053135,0.013659221,0.006272799,0.004166032,0.011418661,0.004012357,0.007305895,0.004438943,0.003948488,0.004928896
